=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.08.10 16:57:55 =~=~=~=~=~=~=~=~=~=~=~=
0,294,15.24,43.82,25.58
76370,23.23,20.41,8.48,45.75,6.33,15.48,44.72,25.35
77375,20.65,18.77,8.87,45.37,6.28,15.24,43.57,25.35
78381,19.94,20.88,8.92,44.34,6.04,15.24,43.70,25.11
79385,20.88,20.88,8.92,45.24,5.70,14.02,43.57,25.11
80390,20.41,17.83,8.97,45.37,6.33,14.88,44.21,23.94
81395,20.65,22.29,8.73,44.34,6.09,15.71,43.70,25.58
82400,21.82,19.71,8.43,44.85,6.33,15.95,44.08,23.70
83404,21.35,20.41,8.92,46.14,5.74,14.51,43.70,25.11
84410,22.29,21.12,8.38,45.62,6.18,14.39,44.08,24.17
85414,21.35,21.35,9.07,43.70,6.14,16.42,44.08,23.70
86419,21.59,20.18,8.97,45.50,5.99,15.71,43.70,24.88
87425,20.65,19.47,8.97,44.72,6.14,14.51,44.21,25.11
88429,21.82,19.71,8.58,44.85,6.18,15.71,43.95,25.82
89435,23.00,19.24,8.87,45.24,5.50,14.39,43.18,25.82
90439,23.70,21.59,8.63,44.60,5.94,14.76,44.34,23.47
91444,23.00,18.77,8.87,45.24,5.99,15.24,43.70,24.64
92449,20.65,17.83,8.78,45.50,5.60,14.51,44.21,26.29
93454,22.76,19.94,8.48,45.75,5.84,15.48,43.82,28.17
94458,22.76,22.76,8.48,44.34,5.94,15.01,43.05,22.29
95464,23.00,19.47,8.97,45.50,5.99,14.02,44.98,23.70
96468,20.65,21.35,8.87,44.34,5.99,15.71,44.34,26.52
97473,22.29,19.94,9.07,44.47,5.79,14.76,44.08,23.47
98479,22.76,21.12,8.87,43.44,6.18,15.48,43.18,25.82
99483,22.29,21.12,8.53,44.85,6.04,14.51,45.50,24.88
100488,23.00,19.47,8.58,44.85,6.14,16.42,43.82,27.46
101493,21.35,22.76,8.78,44.47,5.79,14.76,43.82,26.29
102498,21.59,19.47,8.97,45.50,5.60,14.15,45.24,25.11
103502,20.41,19.24,9.07,44.60,6.09,17.12,44.72,25.11
104508,20.65,20.65,9.02,45.50,5.70,13.66,43.95,23.94
105512,22.53,20.18,8.48,44.08,6.28,14.76,45.37,23.94
106518,22.53,20.65,8.34,45.11,5.55,16.42,44.85,23.70
107523,22.53,20.65,8.78,44.85,5.35,14.02,44.08,24.17
108527,21.35,21.12,8.92,45.37,5.35,15.48,44.98,23.23
109533,22.29,19.24,8.68,45.50,5.35,14.27,44.08,24.41
110537,21.12,18.77,8.78,45.11,5.89,14.88,44.85,23.94
111543,23.47,19.24,8.43,45.75,5.84,14.15,43.57,25.11
112547,21.35,21.59,8.78,44.98,5.99,15.95,43.95,25.11
113552,20.88,18.77,8.92,45.62,5.74,14.64,44.08,26.05
114557,19.24,19.71,9.02,45.62,5.74,14.51,43.82,26.52
115562,22.06,19.00,8.38,44.21,5.70,14.27,45.75,25.35
116568,21.35,20.88,8.43,45.24,6.23,14.15,43.82,24.17
117572,20.18,22.53,8.97,45.50,5.74,14.64,45.37,24.64
118577,23.00,18.06,8.87,44.98,5.40,16.18,43.95,24.64
119582,20.88,20.18,9.07,45.24,5.65,14.39,43.70,24.88
120587,23.70,18.77,8.92,45.50,5.50,14.88,44.72,23.47
121591,22.06,21.35,8.43,44.08,5.50,14.15,43.57,25.58
122597,19.94,24.41,8.82,44.21,5.99,15.71,46.40,26.29
123601,23.47,21.35,8.53,44.47,5.60,14.15,43.82,25.82
124607,21.12,19.00,8.53,45.88,5.74,14.39,43.70,26.05
125612,22.06,20.41,9.07,44.34,5.89,15.24,44.98,25.35
126616,20.88,19.24,8.92,45.24,5.50,14.15,43.82,24.41
127622,23.00,21.59,8.38,45.75,5.99,15.95,44.21,22.29
128626,20.88,18.53,9.02,45.62,6.09,14.64,43.95,26.05
129632,20.88,19.71,8.58,45.50,5.60,14.64,44.47,26.52
130636,22.53,20.41,8.29,44.21,5.35,14.02,43.70,24.64
131641,20.88,19.00,8.43,44.47,5.99,16.42,43.95,23.94
132646,21.35,19.47,8.97,44.72,6.04,16.42,44.34,23.94
133651,23.47,21.12,8.53,44.34,5.89,15.48,44.85,25.58
134657,22.76,21.35,8.73,44.34,5.94,14.39,43.82,28.40
135661,23.23,20.88,8.24,44.47,6.23,16.18,44.47,26.05
136666,22.06,20.41,8.68,45.37,5.55,14.02,45.24,24.17
137671,25.11,20.41,8.48,45.88,6.04,15.95,43.18,26.29
138676,23.94,21.82,8.58,44.21,5.50,16.18,44.08,22.76
139681,25.58,21.35,8.19,44.85,6.38,14.15,43.82,26.52
140686,23.94,19.24,8.92,46.01,6.18,15.48,45.37,25.58
141690,23.23,19.71,9.02,45.62,5.99,13.90,44.60,23.23
142696,21.82,20.41,8.78,44.34,6.28,13.41,43.70,24.64
143700,21.35,19.00,8.43,43.95,6.04,15.01,45.24,23.70
144705,23.70,21.82,8.48,44.21,6.14,14.27,43.70,25.35
145711,22.76,19.71,8.87,44.72,5.99,15.71,43.82,26.76
146715,24.64,21.59,8.63,44.47,5.70,14.02,44.60,23.23
147721,22.53,20.41,8.92,44.21,5.94,13.78,43.82,26.29
148725,24.41,18.53,8.92,45.62,5.65,14.76,45.24,26.05
149730,24.64,20.88,8.63,44.60,5.60,14.39,43.95,28.40
150735,23.94,19.94,8.48,45.75,5.94,15.71,44.47,28.17
151740,24.64,20.65,8.48,44.21,5.65,13.54,43.57,27.46
152745,22.76,22.29,8.92,44.21,5.89,14.27,43.82,27.23
153750,23.00,20.18,9.02,45.50,5.89,13.90,43.70,27.23
154755,24.64,22.06,8.68,44.72,6.14,14.64,44.47,26.76
155760,24.64,19.71,8.58,45.75,5.79,14.51,43.95,24.88
156765,23.00,20.65,8.34,44.08,5.74,15.71,43.57,26.76
157770,24.41,20.65,8.58,45.50,6.04,14.15,44.47,27.46
158775,22.29,22.76,8.92,45.24,5.74,15.24,43.70,27.70
159779,24.64,21.35,8.58,44.47,5.11,14.39,43.82,25.82
160785,23.23,21.12,8.58,45.24,5.94,13.90,45.11,24.88
161789,25.82,22.53,8.63,44.21,5.79,17.12,43.70,27.70
162795,25.11,20.88,8.63,44.98,6.14,14.39,43.70,28.40
163800,22.29,20.41,9.02,45.50,5.84,16.42,43.70,30.75
164804,23.70,20.41,8.48,43.95,4.47,15.01,44.60,26.99
165810,23.70,21.82,8.92,44.34,4.77,14.39,43.82,28.40
166814,20.41,18.77,8.92,45.50,4.82,15.95,43.57,28.87
167820,21.59,18.77,8.68,45.62,5.16,15.48,45.11,30.05
168824,21.82,21.35,8.82,44.34,5.35,14.76,44.08,29.11
169829,23.00,21.12,8.48,43.95,5.40,15.95,43.57,26.52
170834,21.82,21.12,8.92,44.21,5.50,15.24,43.82,27.93
171839,24.17,20.88,8.43,44.21,5.11,13.90,43.18,26.05
172844,21.82,19.71,8.92,44.72,5.45,14.88,43.82,27.46
173849,24.64,19.47,8.63,46.14,5.45,14.88,43.95,27.23
174854,22.53,20.65,8.97,45.75,5.21,13.66,43.82,29.58
175859,22.06,18.77,8.82,45.75,5.35,15.01,44.34,24.88
176864,24.41,19.71,8.87,45.24,5.35,14.39,44.60,26.29
177868,24.17,20.41,8.48,44.21,5.65,14.27,43.70,27.23
178874,23.47,18.77,8.97,44.85,5.21,14.39,44.85,26.05
179878,27.23,22.06,9.02,45.50,5.50,14.15,44.85,26.99
180884,26.52,20.65,8.48,46.01,5.60,15.01,44.85,23.70
181889,24.64,20.18,8.53,44.34,5.55,15.48,45.62,26.05
182893,23.00,21.82,8.58,44.34,5.89,14.51,44.60,23.94
183899,24.64,20.41,8.34,45.75,5.79,14.39,43.70,27.46
184903,22.06,18.77,8.87,45.24,6.28,15.48,43.82,26.99
185909,26.52,21.35,8.78,44.60,6.04,15.95,44.34,27.23
186913,23.00,19.94,8.48,44.34,5.94,15.71,44.60,26.29
187918,22.06,18.30,8.68,45.62,5.65,14.64,44.08,25.11
188923,25.82,19.71,8.82,45.62,5.60,14.88,44.47,24.64
189928,23.94,20.65,8.29,44.08,5.65,15.24,43.82,27.70
190934,24.64,21.35,8.87,44.21,5.79,14.39,43.70,26.99
191938,23.94,18.53,8.78,45.75,5.94,16.18,44.72,27.46
192943,23.00,19.71,9.12,45.62,5.55,14.88,44.21,25.35
193948,23.00,19.24,9.17,44.47,5.84,14.64,43.95,25.58
194953,23.00,20.65,8.53,43.82,6.04,15.24,43.57,27.93
195957,23.23,19.24,9.02,45.75,5.65,15.01,43.82,26.76
196963,22.06,18.53,8.82,45.11,6.28,17.83,43.57,26.76
197967,23.23,20.65,8.87,45.50,5.40,15.24,44.98,26.05
198973,21.59,20.18,8.97,44.21,5.74,14.39,43.70,26.05
199977,23.23,20.41,8.87,45.62,5.40,15.01,43.57,26.52
200982,24.88,20.41,8.58,44.34,5.70,14.88,44.34,27.23
201988,20.88,21.82,8.92,43.95,5.79,18.06,45.37,24.88
202992,24.64,22.06,8.92,45.50,5.79,15.71,43.57,26.52
203998,23.70,21.12,8.48,45.11,5.45,15.71,44.85,23.94
205002,23.94,19.00,8.58,43.95,5.94,16.42,44.72,27.23
206007,22.53,18.77,8.68,44.85,5.40,14.27,43.44,26.05
207012,23.70,20.65,8.38,44.72,5.60,14.76,43.95,26.99
208017,22.76,19.24,8.97,45.62,5.40,15.24,45.11,26.29
209022,22.76,19.00,8.29,45.62,5.55,14.51,43.70,26.05
210027,24.41,18.06,8.43,44.60,5.70,16.42,44.34,26.99
211032,23.00,19.94,8.34,46.14,5.30,14.27,43.44,24.88
212037,24.64,19.47,8.82,45.75,5.35,15.24,44.98,27.23
213042,23.23,20.65,8.97,45.50,5.35,14.39,44.72,26.05
214047,22.06,18.77,8.82,44.98,5.50,14.39,43.70,27.23
215052,21.82,22.76,8.78,45.11,5.70,14.76,43.70,26.76
216056,24.17,21.59,8.78,45.11,5.84,17.83,44.72,26.29
217062,24.41,20.41,8.48,46.65,5.84,14.02,44.60,26.52
218066,23.70,20.41,8.14,44.34,6.09,18.53,42.92,25.82
219072,22.76,19.24,9.31,44.47,6.14,14.39,43.44,27.70
220077,22.29,21.59,9.02,45.62,5.84,15.48,43.57,26.29
221081,23.00,17.59,9.02,45.62,5.70,15.71,44.98,24.88
222087,25.58,21.35,8.53,45.37,5.55,19.00,43.70,25.82
223091,22.06,17.83,9.02,45.24,5.60,14.76,45.11,25.82
224097,24.41,20.41,8.92,44.34,5.84,14.39,43.05,27.70
225101,24.17,20.41,8.48,44.21,5.79,15.48,44.85,26.52
226106,21.82,19.47,8.87,45.62,5.70,14.64,43.95,26.76
227111,24.17,18.06,8.58,44.60,5.99,14.76,44.08,24.88
228116,23.70,18.77,8.97,45.24,5.60,14.76,45.24,24.17
229121,22.29,19.00,8.43,44.08,6.04,15.01,44.21,23.94
230126,23.94,19.71,8.04,43.18,5.74,15.24,44.72,24.88
231131,24.64,21.59,8.48,44.08,5.74,15.24,43.57,25.82
232136,22.53,19.47,9.12,44.21,5.94,14.39,43.95,24.88
233141,23.47,19.00,8.38,44.08,5.99,15.48,43.57,26.99
234145,22.06,20.65,9.02,45.50,5.70,15.01,44.85,24.41
235151,24.41,20.41,8.48,45.62,5.70,14.64,43.31,26.52
236155,24.17,20.65,8.29,44.21,5.50,15.24,44.72,25.82
237161,22.06,19.94,8.53,45.50,5.74,14.51,43.57,26.05
238166,24.41,19.24,8.87,45.24,5.50,14.39,44.47,26.99
239170,21.82,19.71,8.97,45.62,5.65,15.48,44.98,25.82
240176,21.82,20.18,8.87,44.47,5.94,16.42,43.70,26.29
241180,22.53,20.41,8.97,45.50,5.45,14.02,43.57,27.70
242186,23.70,19.47,8.87,43.95,5.70,14.76,43.82,27.46
243190,24.41,19.71,8.53,44.47,5.65,14.88,44.34,24.88
244195,24.41,20.18,8.48,44.21,5.30,14.27,43.31,26.99
245200,23.00,20.65,8.48,45.37,5.40,14.27,43.57,26.76
246205,23.94,21.35,8.48,44.34,5.70,14.88,44.60,26.52
247211,23.94,19.94,8.97,44.34,5.94,13.78,43.57,26.99
248215,24.64,17.83,8.63,44.60,5.50,16.42,44.21,26.99
